GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101014300,"Census Tract 143, Philadelphia County, Pennsylvania",B08121_001,44688,6174,21,19,253,50,1430,159
42101014400,"Census Tract 144, Philadelphia County, Pennsylvania",B08121_001,32955,7012,69,47,220,63,2205,314
42101014500,"Census Tract 145, Philadelphia County, Pennsylvania",B08121_001,25729,6950,24,27,75,28,223,88
42101014600,"Census Tract 146, Philadelphia County, Pennsylvania",B08121_001,NA,NA,40,29,184,66,1669,433
42101014700,"Census Tract 147, Philadelphia County, Pennsylvania",B08121_001,11975,11040,99,62,129,88,1087,347
42101014800,"Census Tract 148, Philadelphia County, Pennsylvania",B08121_001,31580,1889,44,49,59,44,3,6
42101014900,"Census Tract 149, Philadelphia County, Pennsylvania",B08121_001,26797,11242,0,10,182,93,121,109
42101015101,"Census Tract 151.01, Philadelphia County, Pennsylvania",B08121_001,24205,6724,41,62,140,62,74,78
42101015102,"Census Tract 151.02, Philadelphia County, Pennsylvania",B08121_001,24271,6102,13,20,132,70,32,34
42101015200,"Census Tract 152, Philadelphia County, Pennsylvania",B08121_001,20818,4210,0,14,81,74,107,124
42101015300,"Census Tract 153, Philadelphia County, Pennsylvania",B08121_001,10666,2013,40,54,17,22,2199,330
42101015600,"Census Tract 156, Philadelphia County, Pennsylvania",B08121_001,25132,5600,0,10,189,57,551,174
42101015700,"Census Tract 157, Philadelphia County, Pennsylvania",B08121_001,24295,5350,22,34,265,97,1485,362
42101015800,"Census Tract 158, Philadelphia County, Pennsylvania",B08121_001,42435,4754,218,115,746,152,5896,672
42101016000,"Census Tract 160, Philadelphia County, Pennsylvania",B08121_001,41767,4766,73,55,922,139,6014,720
42101016100,"Census Tract 161, Philadelphia County, Pennsylvania",B08121_001,34350,8812,142,76,480,137,3589,536
42101016200,"Census Tract 162, Philadelphia County, Pennsylvania",B08121_001,22188,3493,75,49,152,55,739,237
42101016300,"Census Tract 163, Philadelphia County, Pennsylvania",B08121_001,16121,8176,116,96,254,94,1605,465
42101016400,"Census Tract 164, Philadelphia County, Pennsylvania",B08121_001,23152,5065,30,47,155,76,984,269
42101016500,"Census Tract 165, Philadelphia County, Pennsylvania",B08121_001,24727,5280,50,56,97,50,288,242
42101016600,"Census Tract 166, Philadelphia County, Pennsylvania",B08121_001,24485,3600,0,10,23,22,345,160
